nomina,experiencia,disciplina,empatia,liderazgo,seguridad,habilidad_tecnologica,habilidad_pedagogica,vocacion,relaciones_inter,curiosidad,normal_D,normal_I,normal_S,normal_C,motivacion_D,motivacion_I,motivacion_S,motivacion_C,presion_D,presion_I,presion_S,presion_C,Decision
800178,medio,bajo,alto,medio_bajo,medio_alto,medio_bajo,medio_alto,medio_alto,medio,medio_alto,68,55,70,35,20,85,67,15,27,42,64,41,No
800179,bajo,medio_bajo,medio,alto,medio_bajo,bajo,medio_bajo,medio_alto,medio_bajo,bajo,70,70,68,30,60,62,15,57,72,47,29,65,Yes
800180,bajo,medio_bajo,bajo,alto,medio_alto,bajo,medio,bajo,alto,alto,30,60,62,41,15,53,85,15,51,15,70,15,No
800181,bajo,bajo,medio_alto,bajo,bajo,alto,bajo,alto,alto,medio,57,33,70,70,15,72,44,64,28,56,48,74,No
800182,medio_bajo,medio,medio,medio_bajo,medio,alto,medio,medio,medio_bajo,medio,63,58,58,48,76,19,46,30,26,74,36,16,Yes
800183,medio_bajo,bajo,medio,medio,medio,bajo,alto,alto,bajo,medio_bajo,56,70,30,63,69,85,26,54,85,39,8,66,Yes
800184,medio,medio_bajo,medio,alto,alto,bajo,medio_alto,bajo,alto,medio_alto,70,65,30,70,50,51,26,67,74,21,83,17,Yes
800185,alto,bajo,medio_bajo,bajo,alto,medio_alto,alto,medio_alto,medio_alto,bajo,70,70,38,35,81,32,33,33,30,82,11,37,No
800186,medio_alto,bajo,medio_bajo,medio,medio_alto,medio_alto,bajo,medio,alto,medio_alto,70,48,70,30,18,27,85,36,15,19,8,80,Yes
800187,medio,medio,medio_bajo,medio_bajo,medio_alto,medio_bajo,bajo,bajo,medio_bajo,bajo,30,70,70,30,85,85,15,81,23,85,48,85,Yes
800188,bajo,medio,alto,medio_bajo,bajo,medio_bajo,bajo,medio_bajo,bajo,medio_bajo,64,53,30,30,61,56,85,21,15,66,79,67,Yes
800189,alto,medio_bajo,medio_bajo,medio_bajo,medio,medio_bajo,alto,medio_bajo,medio_alto,bajo,30,70,69,42,70,15,15,15,46,72,40,85,Yes
800190,alto,medio_bajo,medio_alto,medio_alto,alto,medio_bajo,medio_alto,alto,alto,alto,62,30,70,49,54,54,41,15,81,48,31,28,Yes
800191,medio,medio,medio_alto,medio_bajo,medio_alto,medio_alto,medio,medio_bajo,medio_alto,alto,70,41,56,30,15,82,85,57,15,68,12,64,Yes
800192,medio_bajo,medio,bajo,medio_bajo,medio_alto,bajo,alto,alto,medio_bajo,medio_alto,31,30,66,30,18,48,52,49,15,41,1,61,No
800193,alto,medio_alto,medio_alto,bajo,medio_alto,medio_bajo,medio_alto,medio_bajo,medio_alto,bajo,58,30,46,30,68,85,59,79,45,15,6,28,Yes
800194,medio_bajo,medio_alto,alto,medio_bajo,medio_alto,medio_bajo,medio_bajo,medio_alto,medio,medio_alto,30,70,70,70,15,45,56,65,15,47,16,85,No
800195,alto,medio,bajo,medio_bajo,alto,alto,alto,medio,alto,bajo,65,30,32,31,75,79,32,38,26,85,1,60,Yes
800196,medio,medio_alto,bajo,alto,medio_alto,alto,bajo,medio,medio_alto,medio,70,45,58,70,61,35,85,51,85,85,72,22,No
800197,medio_bajo,bajo,medio_alto,medio,medio_bajo,medio,bajo,bajo,alto,medio_alto,63,30,30,70,85,15,39,85,85,15,79,85,Yes
800198,medio_bajo,medio_alto,medio,medio_alto,bajo,alto,medio_alto,alto,medio,alto,39,70,70,70,15,78,15,85,79,83,54,75,Yes
800199,medio_alto,alto,alto,bajo,medio_bajo,medio_bajo,medio_bajo,medio,bajo,medio_bajo,30,70,30,51,85,83,64,58,15,66,67,43,No
800200,medio,alto,medio,alto,alto,medio_alto,medio_alto,medio_alto,alto,bajo,30,64,30,52,55,29,27,40,15,17,21,49,No
800201,medio,alto,medio_bajo,medio,medio_bajo,medio_alto,medio,alto,medio_bajo,bajo,30,30,48,70,85,54,85,60,40,28,79,15,Yes
800202,medio_bajo,medio,medio,medio_bajo,medio_alto,alto,bajo,medio_bajo,medio_bajo,medio_alto,30,30,30,70,15,85,48,34,81,71,89,85,No
800203,alto,medio_bajo,medio_bajo,medio_alto,medio,medio_bajo,bajo,medio_bajo,medio,medio_alto,70,70,56,70,85,15,64,54,60,45,88,60,Yes
800204,medio_bajo,medio_alto,medio_alto,bajo,medio_alto,medio_bajo,medio_alto,bajo,alto,bajo,33,70,35,48,15,31,71,22,43,40,65,18,Yes
800205,medio_alto,bajo,medio,bajo,medio_bajo,medio_alto,medio_alto,medio,medio,medio_alto,43,56,46,30,85,61,33,60,69,85,20,73,No
800206,bajo,medio,medio,medio_alto,medio_alto,alto,medio_bajo,medio_bajo,alto,alto,40,30,70,58,15,15,33,85,85,15,64,62,Yes
800207,medio,bajo,medio_alto,medio_bajo,alto,medio,medio_alto,medio_bajo,bajo,alto,70,30,69,70,85,15,61,78,28,15,44,39,Yes
800208,medio_bajo,bajo,alto,medio,medio_bajo,medio,medio_alto,alto,medio_alto,alto,53,47,70,58,85,15,85,34,85,15,96,79,Yes
800209,medio_alto,medio_alto,medio_bajo,medio_bajo,alto,medio,alto,medio_bajo,medio,medio,30,30,52,30,20,68,85,85,15,64,99,73,Yes
800210,medio,medio_alto,medio_bajo,alto,medio,medio_bajo,medio,medio_bajo,medio,alto,55,30,70,30,33,15,15,65,32,56,78,53,No
800211,medio,alto,alto,alto,medio_alto,medio_alto,medio_bajo,medio_alto,alto,medio_bajo,58,61,48,70,16,47,15,15,18,48,17,80,No
800212,bajo,medio_bajo,medio_alto,alto,medio_alto,medio_alto,alto,bajo,medio,medio,67,30,70,56,31,24,61,22,26,54,93,22,Yes
800213,alto,medio_bajo,medio_alto,alto,medio,bajo,alto,medio_bajo,medio_bajo,medio_alto,44,58,54,70,22,74,69,62,23,85,35,85,Yes
800214,medio,medio_alto,medio_bajo,medio_bajo,medio_bajo,alto,medio_bajo,medio_alto,medio_alto,alto,66,70,62,70,85,85,46,61,50,85,43,15,Yes
800215,medio,medio,bajo,medio_alto,bajo,medio_bajo,alto,bajo,medio,medio_alto,55,34,30,70,74,85,78,56,85,60,56,74,No
800216,medio,medio,medio,medio,medio,medio,bajo,medio_alto,alto,alto,70,50,70,30,15,85,58,78,15,56,60,18,No
800217,medio_alto,medio_alto,medio,medio_alto,alto,medio_alto,medio,medio_alto,bajo,medio,60,70,63,70,70,15,44,35,70,73,90,85,No
800218,alto,medio_alto,alto,alto,medio_alto,medio,alto,medio_alto,alto,medio_alto,30,51,70,30,69,15,63,85,25,85,48,58,No
800219,medio_bajo,bajo,alto,bajo,alto,alto,medio_alto,medio_bajo,alto,alto,70,70,64,30,85,37,72,32,20,69,54,78,Yes
800220,medio_bajo,medio_alto,medio_bajo,medio_bajo,bajo,alto,medio_alto,medio,medio_alto,medio_alto,30,70,70,70,85,15,84,64,15,85,58,20,Yes
800221,alto,bajo,medio_alto,medio,medio_alto,medio_alto,medio_bajo,bajo,medio,medio,37,42,61,30,15,80,15,38,50,72,35,15,No
800222,medio,medio_bajo,medio_alto,bajo,medio_bajo,medio_alto,alto,medio_alto,medio,medio,70,70,30,70,35,85,25,61,60,65,77,15,Yes
800223,medio_alto,medio_alto,medio_bajo,bajo,medio,medio_bajo,medio_bajo,medio_alto,bajo,medio_bajo,70,70,30,31,15,73,50,61,51,85,82,51,No
800224,medio,medio,medio_alto,alto,medio_alto,bajo,medio_bajo,alto,bajo,alto,70,57,30,30,15,15,23,15,15,39,20,20,No
800225,bajo,alto,bajo,medio_alto,medio_alto,medio,medio_bajo,medio_bajo,bajo,bajo,69,47,70,65,57,85,56,66,84,32,9,69,Yes
800226,medio,medio_alto,alto,alto,medio,medio,medio_alto,medio,medio_alto,medio_alto,30,30,30,70,28,42,58,22,73,35,5,15,Yes
800227,alto,medio,medio_bajo,bajo,medio_bajo,medio,medio_alto,medio_bajo,bajo,medio,46,30,30,48,15,58,31,40,59,85,53,73,Yes
800228,medio,medio_alto,medio,medio_bajo,alto,medio_bajo,medio_alto,alto,medio_alto,medio,70,70,49,30,49,68,17,21,85,79,31,71,No
800229,medio,medio_bajo,medio_bajo,medio,medio_alto,medio,medio,bajo,medio,bajo,30,65,70,30,76,67,43,41,15,39,46,75,Yes
800230,medio_bajo,bajo,bajo,bajo,bajo,alto,alto,bajo,bajo,bajo,43,30,70,30,65,49,39,58,51,85,69,37,No
800231,medio_alto,medio_bajo,medio,medio,alto,medio,medio,alto,alto,medio_bajo,30,30,70,47,82,41,39,45,85,49,97,37,Yes
800232,medio,alto,medio,medio,bajo,bajo,medio_bajo,medio,medio_alto,medio,65,30,45,55,61,75,47,68,16,34,83,85,No
800233,alto,medio,medio,medio_bajo,medio_bajo,medio_bajo,medio_bajo,medio,medio_alto,bajo,30,40,70,70,15,15,18,15,71,15,66,80,Yes
800234,medio_alto,medio,medio_bajo,medio_alto,bajo,medio,medio_alto,medio,medio,medio_bajo,30,70,37,70,81,46,23,44,15,17,49,15,No
800235,bajo,alto,bajo,bajo,medio_alto,bajo,alto,medio,alto,bajo,70,47,30,70,66,31,74,64,68,80,61,25,No
800236,alto,medio,bajo,alto,medio_alto,medio,medio_alto,medio_alto,medio,bajo,30,59,60,70,85,60,85,23,48,85,33,35,Yes
800237,bajo,medio,medio_bajo,alto,bajo,bajo,bajo,bajo,alto,medio_alto,54,31,55,30,42,62,15,85,58,27,15,15,No
800238,medio,bajo,medio_alto,medio_alto,medio,medio_bajo,alto,bajo,alto,medio_alto,62,47,70,70,75,15,58,79,50,15,58,15,No
800239,medio,medio_alto,medio_alto,alto,medio_alto,bajo,bajo,medio_alto,medio_alto,medio,70,70,44,45,85,83,60,43,31,37,58,33,Yes
800240,medio,medio,medio_alto,alto,medio,bajo,medio_alto,medio_alto,alto,medio_alto,70,63,69,30,62,67,21,36,85,85,21,15,No
800241,medio,medio,medio_alto,medio_alto,bajo,medio_alto,medio_bajo,medio_bajo,medio_bajo,medio,30,49,59,70,85,85,85,27,65,29,28,85,No
800242,medio,medio_bajo,medio_bajo,medio_alto,alto,medio,medio,medio_alto,medio_alto,medio_alto,70,50,70,63,78,15,15,63,54,15,17,52,No
800243,medio,medio_bajo,medio,medio_alto,medio,medio_bajo,medio_alto,medio_bajo,alto,medio_alto,48,38,37,70,60,33,29,54,36,68,37,30,No
800244,bajo,bajo,medio,medio,alto,alto,medio_alto,medio,alto,medio,37,57,30,63,15,24,85,85,79,85,21,15,No
800245,medio_bajo,medio,alto,medio_bajo,bajo,medio,medio,medio,alto,medio,70,30,30,42,77,41,15,50,21,52,16,64,No
800246,medio,alto,bajo,medio_bajo,medio,bajo,bajo,alto,medio_alto,medio_bajo,30,70,67,54,15,39,75,37,36,68,25,85,No
800247,medio_bajo,bajo,medio_bajo,bajo,medio_bajo,alto,medio_bajo,bajo,medio_alto,bajo,30,70,30,70,15,79,48,63,55,50,13,15,Yes
800248,bajo,medio_alto,medio_alto,medio_alto,medio_alto,medio_alto,medio,alto,medio,medio_alto,35,30,62,30,44,35,85,36,63,55,45,24,No
800249,bajo,alto,medio_bajo,medio_alto,alto,medio,alto,medio_alto,medio_bajo,medio,44,61,60,70,44,51,49,82,18,47,55,69,No
800250,medio_alto,alto,medio,bajo,medio_alto,alto,medio,alto,bajo,alto,36,50,70,52,45,75,51,85,30,85,67,42,Yes
800251,medio_alto,medio,alto,alto,bajo,medio_bajo,medio_bajo,alto,medio_bajo,medio_bajo,70,70,30,70,72,54,19,19,72,18,84,85,No
800252,medio,alto,alto,medio,medio_bajo,medio_bajo,alto,medio_bajo,alto,alto,70,47,70,44,15,85,25,74,51,25,1,54,Yes
800253,medio,medio,medio_bajo,medio_bajo,alto,medio,medio_bajo,medio,medio,alto,30,30,30,30,77,15,30,63,51,83,32,18,No
800254,medio,alto,medio_bajo,medio_alto,medio_alto,alto,medio_bajo,bajo,medio_bajo,medio_bajo,60,70,68,30,85,85,41,27,15,35,43,48,Yes
800255,medio_alto,bajo,medio,alto,medio_bajo,medio_bajo,bajo,medio_alto,medio_alto,medio_alto,40,70,30,70,15,38,59,68,48,15,43,77,No
800256,medio,medio_bajo,medio_alto,bajo,medio_alto,medio_alto,medio_bajo,medio_bajo,medio_bajo,medio_alto,70,70,58,70,15,57,15,44,15,46,78,17,Yes
800257,medio,bajo,bajo,medio_bajo,alto,medio,alto,medio_bajo,alto,alto,30,30,30,30,43,85,85,85,69,67,59,44,Yes
800258,medio_alto,medio_bajo,alto,bajo,alto,medio_bajo,medio_alto,medio,bajo,medio,50,54,70,70,62,41,37,15,74,35,78,15,No
800259,medio,bajo,alto,medio,alto,medio_alto,medio_alto,medio,medio_bajo,bajo,49,70,65,70,15,50,54,24,41,74,20,31,Yes
800260,medio,medio,medio,medio,bajo,alto,medio,bajo,medio_alto,medio_alto,68,30,30,65,53,20,32,82,39,71,91,85,No
800261,alto,bajo,bajo,medio_alto,medio_bajo,alto,medio_alto,medio,bajo,medio,60,30,70,63,15,42,35,42,15,85,81,78,No
800262,bajo,medio_bajo,bajo,medio_alto,medio_alto,bajo,medio_alto,medio_alto,medio_alto,alto,63,52,69,70,34,85,18,15,60,18,69,75,No
800263,medio,alto,bajo,alto,bajo,bajo,alto,medio,medio_alto,alto,70,30,52,30,15,85,27,31,85,74,89,51,Yes
800264,alto,medio,medio,alto,medio_alto,bajo,medio_alto,bajo,bajo,medio_alto,30,70,30,70,68,85,84,59,18,35,81,58,No
800265,medio_alto,bajo,medio_alto,medio_bajo,bajo,bajo,alto,medio,medio_bajo,medio_alto,30,70,34,30,85,60,49,43,65,85,89,66,Yes
800266,medio,medio_bajo,alto,bajo,medio,medio,alto,medio_bajo,medio_bajo,medio_bajo,70,70,34,30,41,24,15,85,85,85,3,15,No
800267,medio_alto,medio,medio,alto,medio_alto,alto,medio_alto,alto,medio_alto,medio_alto,70,30,30,32,73,34,77,42,71,85,85,62,No
800268,bajo,medio_bajo,medio,medio,alto,alto,medio_bajo,medio_alto,medio_bajo,medio,37,70,46,52,71,40,19,74,38,59,1,15,Yes
800269,medio,medio,bajo,medio_alto,alto,medio,alto,alto,medio,medio_alto,70,58,70,70,85,35,42,25,15,78,53,52,No
800270,medio_bajo,bajo,medio,medio,bajo,bajo,bajo,medio_alto,medio_bajo,alto,70,70,30,70,85,59,69,85,73,43,21,65,No
800271,bajo,medio,bajo,medio,medio_bajo,alto,medio,medio_alto,medio_bajo,bajo,70,39,30,34,19,15,41,52,55,63,93,78,Yes
800272,bajo,medio_alto,medio_alto,alto,medio_bajo,medio,bajo,bajo,medio,medio,49,62,33,70,34,56,65,43,59,60,51,76,Yes
800273,alto,medio,medio_bajo,medio_alto,alto,medio,bajo,bajo,bajo,alto,70,30,48,30,57,65,67,82,15,16,80,83,No
800274,bajo,alto,medio_alto,medio_alto,bajo,medio_alto,medio_alto,alto,medio,medio,70,48,67,40,15,15,40,70,27,55,84,48,Yes
800275,bajo,alto,bajo,medio_bajo,alto,medio_bajo,medio,medio,alto,alto,52,30,30,70,21,17,78,15,21,25,47,17,Yes
800276,medio,medio,medio_bajo,medio_bajo,medio,bajo,medio,alto,medio_alto,medio_alto,54,30,30,30,49,20,19,43,33,64,23,58,No
800277,medio_alto,medio_bajo,medio_bajo,medio_alto,bajo,bajo,alto,alto,alto,bajo,38,47,43,70,47,25,22,46,42,18,87,85,Yes
800278,medio,bajo,alto,medio,alto,medio_bajo,medio_alto,medio_bajo,medio_bajo,medio,30,70,61,30,85,35,32,85,15,83,41,84,Yes
800279,alto,medio_bajo,alto,medio,alto,medio,medio,bajo,medio_alto,alto,30,30,70,70,35,53,15,56,15,15,88,42,No
800280,medio,medio,medio_bajo,alto,medio_alto,medio_bajo,medio_bajo,bajo,medio_alto,bajo,30,51,45,70,85,41,15,56,58,73,46,15,Yes
800281,medio,bajo,medio_bajo,medio_bajo,medio,medio_alto,medio_alto,alto,medio_alto,medio_bajo,50,70,30,63,39,85,48,56,56,55,32,67,Yes
800282,medio,alto,medio_bajo,medio,medio_bajo,bajo,bajo,medio_bajo,alto,alto,34,30,30,30,26,34,15,33,85,49,93,17,No
800283,medio,alto,medio_bajo,medio_alto,medio_alto,bajo,medio,medio_alto,medio,medio_bajo,40,49,30,66,31,15,25,85,69,40,9,78,No
800284,bajo,alto,alto,medio_alto,medio_bajo,medio,medio_bajo,medio_bajo,bajo,alto,30,70,51,30,43,33,15,37,15,73,63,31,Yes
800285,medio_bajo,alto,medio_alto,medio,alto,bajo,medio_bajo,medio_alto,alto,medio_bajo,66,70,30,61,15,72,80,80,28,73,86,15,Yes
800286,medio,bajo,medio,alto,bajo,medio,bajo,medio_bajo,alto,bajo,31,70,70,70,16,41,73,29,25,76,16,15,Yes
800287,medio,medio,medio_alto,medio_bajo,bajo,medio_bajo,medio,bajo,medio,medio,50,59,30,62,19,15,42,85,85,85,42,62,Yes
800288,bajo,medio_bajo,medio_bajo,medio,medio_bajo,medio,medio_bajo,medio_alto,bajo,bajo,70,61,70,31,85,76,71,66,32,40,16,72,No
800289,medio_bajo,medio,medio,alto,medio_bajo,alto,alto,medio_bajo,medio_alto,alto,51,70,70,50,47,31,66,61,69,15,79,85,Yes
800290,medio_bajo,medio_bajo,medio_alto,medio,medio_alto,medio_bajo,bajo,bajo,alto,medio,37,34,30,30,68,84,15,59,85,15,52,85,No
800291,medio_bajo,medio,medio_alto,medio_alto,bajo,bajo,bajo,medio,medio_bajo,alto,70,45,70,37,85,15,85,26,15,36,82,17,No
800292,bajo,medio,medio_bajo,medio_alto,alto,bajo,medio_alto,medio,medio_alto,medio_alto,30,70,30,70,42,75,59,21,38,27,78,60,Yes
800293,medio,alto,medio_bajo,bajo,medio_bajo,medio,bajo,bajo,medio,alto,34,70,61,70,22,85,58,17,70,32,32,81,Yes
800294,alto,bajo,medio_bajo,medio_alto,medio_bajo,bajo,alto,bajo,medio,alto,70,51,60,30,83,85,85,55,24,33,86,56,No
800295,medio,bajo,medio_alto,medio_alto,medio_alto,bajo,bajo,medio_alto,medio_alto,medio_alto,70,70,47,30,39,85,15,81,17,51,2,78,No
800296,medio_bajo,alto,bajo,alto,bajo,bajo,medio,medio_alto,medio_bajo,medio,69,38,51,70,85,85,66,79,46,85,34,81,No
800297,medio_alto,medio_alto,medio,medio_bajo,medio_alto,alto,alto,alto,medio_bajo,medio_alto,66,31,30,60,85,34,34,47,43,51,80,85,No
800298,alto,alto,alto,medio,medio,medio_bajo,medio_alto,medio_bajo,bajo,medio_alto,65,65,30,41,34,52,55,84,31,85,24,64,No
800299,medio_bajo,medio,bajo,medio_alto,alto,medio,alto,alto,alto,medio,65,70,53,58,37,68,53,40,51,15,52,38,Yes
800300,alto,medio_bajo,medio_alto,medio_bajo,alto,medio_alto,medio,bajo,medio,medio_alto,70,30,70,35,15,75,15,15,85,76,49,38,Yes
800301,medio_alto,bajo,bajo,medio_alto,alto,medio,medio_alto,alto,medio_bajo,medio,70,30,70,67,28,21,78,67,38,28,7,85,Yes
800302,alto,alto,alto,medio,bajo,alto,medio,medio,medio,alto,42,47,49,30,15,85,50,58,53,66,11,85,No
800303,medio,alto,alto,medio_bajo,medio_alto,alto,alto,bajo,medio_bajo,alto,65,30,31,70,77,85,15,15,67,45,21,23,Yes
800304,bajo,medio,medio_alto,bajo,medio_bajo,alto,medio,medio_bajo,medio,medio,30,31,30,69,85,32,15,65,85,27,78,65,Yes
800305,medio,medio,medio_alto,alto,medio,medio_alto,alto,medio_alto,medio_bajo,medio_bajo,30,58,30,30,68,85,66,69,15,15,2,16,No
800306,medio_alto,bajo,medio_alto,medio,bajo,medio_bajo,medio_bajo,alto,medio_alto,alto,30,30,70,70,61,80,15,61,15,71,15,35,No
800307,medio,bajo,medio,alto,medio,medio_bajo,medio,medio_alto,alto,medio_alto,66,30,52,70,17,15,15,85,22,66,69,85,No
800308,medio,medio_bajo,medio_alto,alto,bajo,alto,medio,bajo,medio_bajo,bajo,30,30,70,30,58,77,15,66,15,45,18,25,No
800309,bajo,bajo,medio,medio_alto,medio_alto,bajo,alto,medio_alto,bajo,medio,30,30,61,55,15,33,15,15,67,81,78,85,No
800310,medio,bajo,medio,medio,medio_alto,bajo,alto,bajo,bajo,medio_alto,59,40,30,66,77,15,62,15,50,78,80,79,No
800311,medio,medio_alto,medio,alto,medio,medio,alto,alto,bajo,alto,48,36,44,64,15,15,85,15,57,73,15,23,Yes
800312,bajo,medio_alto,medio,alto,medio,medio_bajo,bajo,medio_alto,medio,medio_bajo,50,49,70,47,62,85,36,15,48,39,66,15,No
800313,medio_alto,medio_bajo,medio_bajo,bajo,medio_bajo,medio,medio_bajo,alto,medio_alto,alto,50,45,30,44,53,49,15,38,30,32,71,85,No
800314,bajo,alto,medio_alto,medio_alto,medio_bajo,medio_bajo,medio_bajo,medio_alto,alto,medio_bajo,50,70,44,30,52,82,26,26,85,63,33,55,No
800315,bajo,bajo,medio,alto,medio_bajo,medio_bajo,alto,bajo,alto,bajo,70,45,50,30,15,15,15,20,54,16,35,35,Yes
800316,alto,bajo,medio_alto,medio_bajo,alto,medio_bajo,medio_alto,medio_bajo,medio_bajo,medio_bajo,70,30,70,30,55,26,51,80,85,41,52,32,Yes
800317,alto,bajo,bajo,medio_bajo,alto,bajo,bajo,medio_alto,bajo,medio_alto,70,30,64,60,44,28,63,15,15,65,48,56,No
800318,alto,alto,medio,bajo,medio_alto,alto,bajo,medio_alto,bajo,bajo,37,30,70,70,83,85,15,30,65,31,60,16,No
800319,medio_bajo,medio_bajo,alto,medio_alto,bajo,medio_alto,medio_alto,medio,bajo,medio_bajo,45,33,67,36,85,16,85,85,61,15,33,15,No
800320,alto,medio_bajo,alto,alto,medio_alto,medio_bajo,medio,medio,medio_bajo,bajo,47,70,39,30,74,25,55,68,85,50,18,15,No
800321,medio_alto,bajo,alto,medio,alto,alto,bajo,bajo,alto,bajo,70,70,70,53,80,15,30,58,15,44,12,70,No
800322,medio_bajo,alto,bajo,medio_alto,medio,bajo,alto,bajo,medio_bajo,medio,70,54,37,43,72,85,34,85,58,85,77,15,No
800323,medio_bajo,medio,medio_alto,bajo,alto,medio_alto,medio,medio,medio_bajo,medio,30,70,70,30,52,70,62,20,15,15,14,29,No
800324,medio,alto,medio_bajo,bajo,alto,medio_bajo,medio_bajo,bajo,medio,medio,30,30,59,52,79,77,27,18,76,85,53,74,No
800325,medio,medio_bajo,medio,medio_bajo,medio,medio_alto,alto,bajo,bajo,medio_bajo,49,70,48,30,78,28,15,77,15,61,52,70,Yes
800326,bajo,medio,medio_alto,alto,medio,medio,bajo,medio_bajo,medio,bajo,70,70,44,30,85,30,51,16,85,85,72,85,Yes
800327,alto,bajo,medio,bajo,medio,alto,bajo,alto,medio_alto,medio_alto,70,30,51,49,85,64,85,75,15,35,75,51,Yes
800328,medio_bajo,medio,medio_bajo,medio,alto,medio_alto,alto,alto,medio_bajo,medio,70,70,62,46,52,37,15,82,60,15,87,23,Yes
800329,medio_alto,alto,bajo,bajo,medio_alto,medio_bajo,medio_bajo,bajo,medio,medio_bajo,35,70,70,58,19,15,85,41,21,34,25,44,Yes
800330,medio_alto,medio_bajo,medio,medio,bajo,medio,alto,medio,alto,alto,64,39,30,30,85,44,77,77,47,35,23,15,Yes
800331,alto,alto,alto,alto,medio_alto,medio_alto,medio_bajo,alto,medio_bajo,medio,58,30,30,30,85,58,53,85,41,85,37,40,Yes
800332,medio_alto,medio_bajo,medio,medio_alto,alto,medio_bajo,medio_alto,medio_alto,medio,bajo,70,63,34,52,82,41,25,71,15,43,6,15,No
800333,medio_bajo,bajo,alto,bajo,medio_bajo,bajo,bajo,medio_alto,bajo,medio_alto,35,70,70,70,85,31,85,85,85,65,74,57,Yes
800334,medio_bajo,medio,medio_alto,medio,alto,medio_alto,medio_alto,alto,medio,bajo,30,56,30,60,16,15,85,85,21,52,36,84,Yes
800335,bajo,medio,medio_alto,medio_alto,bajo,alto,alto,bajo,alto,alto,70,30,70,67,83,26,59,71,71,45,23,23,Yes
800336,medio_alto,medio_bajo,medio_bajo,medio_alto,medio,medio_bajo,medio_bajo,medio_bajo,medio,medio_bajo,30,30,69,30,15,85,39,52,85,69,69,79,No
800337,medio,medio,alto,medio_alto,alto,medio_alto,alto,alto,medio_alto,medio_bajo,70,30,70,30,28,20,15,85,23,15,71,42,Yes
800338,medio_bajo,alto,alto,medio_bajo,medio_bajo,medio_bajo,bajo,medio,medio,medio_bajo,48,44,39,70,67,15,80,60,62,70,41,49,No
800339,medio_alto,alto,medio_alto,medio,alto,medio,medio_alto,medio_bajo,bajo,alto,30,66,58,30,75,31,25,47,45,46,54,70,No
800340,alto,medio,medio_bajo,medio_alto,alto,medio,medio,bajo,alto,alto,30,47,70,62,52,85,62,18,59,46,98,85,Yes
800341,medio_bajo,medio_alto,alto,alto,alto,medio_alto,alto,bajo,medio,medio_alto,60,30,30,42,15,15,17,85,73,29,48,15,Yes
800342,bajo,medio_bajo,medio_alto,medio,medio,medio,medio_bajo,medio_bajo,medio_alto,alto,63,63,70,30,31,18,24,36,80,46,57,32,No
800343,medio_bajo,medio,medio,alto,bajo,medio,medio_bajo,bajo,bajo,medio_alto,34,66,70,30,85,18,46,15,15,28,94,15,Yes
800344,medio_alto,alto,bajo,bajo,medio_bajo,bajo,medio,alto,medio,medio,70,30,34,30,22,85,39,51,66,16,63,56,No
800345,medio,medio,medio_alto,bajo,medio_alto,bajo,bajo,medio_bajo,medio_alto,medio_alto,30,58,55,70,15,85,47,83,80,63,13,42,No
800346,medio,medio_alto,bajo,alto,medio,bajo,medio,bajo,bajo,alto,60,37,40,30,85,61,15,85,73,15,66,73,Yes
800347,medio,medio,medio,bajo,alto,medio_alto,alto,bajo,medio_alto,medio,32,30,64,70,40,71,20,49,85,85,59,55,No
800348,medio_alto,bajo,bajo,medio,medio_alto,alto,bajo,bajo,medio_alto,alto,32,33,30,61,15,85,24,79,71,17,5,72,No
800349,bajo,medio,medio,medio_alto,medio_bajo,medio_alto,medio_bajo,medio_bajo,alto,bajo,33,32,65,45,71,49,75,76,48,15,30,22,Yes
800350,medio_alto,alto,medio,medio_bajo,medio_bajo,bajo,medio_bajo,bajo,medio_alto,medio_alto,38,30,30,70,25,21,37,77,33,55,68,34,Yes
800351,bajo,medio_bajo,medio_bajo,medio,medio,medio_alto,alto,medio_bajo,alto,medio_bajo,32,30,70,70,47,85,85,54,15,79,12,15,Yes
800352,bajo,medio,bajo,medio_alto,medio,medio,alto,alto,medio_alto,medio_alto,70,50,70,30,32,63,64,85,51,15,39,15,No
800353,medio,medio,medio_alto,bajo,medio_bajo,medio_alto,alto,alto,medio_alto,medio_alto,70,70,30,30,20,56,15,45,85,85,7,20,Yes
800354,medio_bajo,alto,alto,medio_alto,alto,medio_bajo,medio,medio_alto,medio_bajo,medio_alto,70,70,30,70,15,85,25,58,27,34,37,77,Yes
800355,medio_bajo,medio,medio_alto,medio,medio_alto,alto,bajo,alto,medio_bajo,alto,44,70,70,70,15,75,24,85,15,15,74,55,No
800356,medio,alto,medio_bajo,bajo,medio_alto,medio,medio,alto,medio_bajo,bajo,46,70,67,56,68,63,33,70,18,73,36,40,No
800357,medio_alto,medio_bajo,medio_alto,medio_alto,medio_bajo,medio_bajo,bajo,medio_alto,medio_bajo,medio,56,30,59,30,58,64,54,15,44,61,26,28,No
800358,medio_alto,bajo,medio,medio_bajo,bajo,bajo,medio_bajo,bajo,bajo,alto,45,36,30,30,15,68,47,85,78,51,92,53,No
800359,bajo,medio_bajo,medio_alto,bajo,alto,medio_alto,medio,medio,bajo,alto,46,54,30,30,15,15,22,15,63,85,80,83,No
800360,medio,medio_bajo,bajo,medio_alto,bajo,alto,medio_alto,medio_bajo,alto,medio,30,70,43,65,23,81,67,73,19,80,37,49,No
