nomina,experiencia,disciplina,empatia,liderazgo,seguridad,habilidad_tecnologica,habilidad_pedagogica,vocacion,relaciones_inter,curiosidad,paciencia,normal_D,normal_I,normal_S,normal_C,motivacion_D,motivacion_I,motivacion_S,motivacion_C,presion_D,presion_I,presion_S,presion_C,Decision
800168,medio,alto,alto,medio,alto,bajo,medio_bajo,medio_bajo,medio,medio,medio,60,52,39,48,15,41,31,57,82,15,98,49,Yes
800169,alto,medio,medio_alto,medio,medio,alto,bajo,medio_alto,medio,medio_bajo,medio,70,64,70,30,85,59,85,66,85,48,46,85,Yes
800170,medio_alto,medio_bajo,medio_bajo,medio_bajo,medio_alto,medio,medio_alto,medio_alto,medio_alto,medio_bajo,alto,61,30,30,66,22,85,58,46,78,15,28,17,No
800171,alto,medio,bajo,bajo,bajo,medio_alto,bajo,medio_alto,medio_bajo,alto,medio_alto,70,70,44,58,29,83,40,82,31,15,55,82,Yes
800172,medio_bajo,medio_alto,medio_bajo,medio,medio_alto,alto,medio_alto,alto,alto,medio_bajo,alto,68,60,30,70,75,22,33,15,37,51,72,71,Yes
800173,medio,medio,alto,bajo,medio,bajo,medio_bajo,alto,medio_bajo,medio_alto,medio_bajo,30,56,70,57,78,79,58,29,77,75,8,15,Yes
800174,medio_bajo,medio,medio_alto,medio_bajo,bajo,medio_alto,medio_bajo,medio,bajo,medio_bajo,medio,34,70,70,70,48,85,80,51,49,41,25,85,Yes
800175,medio_bajo,alto,medio_bajo,alto,alto,alto,medio_bajo,medio_bajo,bajo,medio_bajo,alto,65,30,54,30,23,77,85,45,73,29,95,85,Yes
800176,medio,bajo,medio_bajo,medio,medio,medio_bajo,medio,medio_alto,medio,bajo,bajo,42,46,30,32,40,72,53,22,56,76,21,44,No
800177,bajo,medio_bajo,medio_bajo,medio_alto,medio_bajo,medio_alto,medio_bajo,bajo,medio,bajo,medio,70,69,50,70,46,71,38,76,85,15,17,35,No
800178,alto,medio_bajo,medio,medio_bajo,medio_alto,medio,alto,bajo,medio,bajo,bajo,30,30,70,70,58,85,61,34,21,85,38,24,No
800179,medio,medio_alto,medio_alto,medio,alto,bajo,bajo,medio_alto,medio_bajo,medio_bajo,medio_bajo,30,30,30,30,28,61,83,85,24,58,33,44,Yes
800180,medio,medio_alto,medio_bajo,bajo,medio_alto,medio_bajo,medio,alto,medio_alto,bajo,medio_alto,69,47,48,70,85,68,15,65,58,57,53,28,Yes
800181,medio,medio,medio_bajo,bajo,medio_bajo,medio,medio_alto,alto,bajo,alto,bajo,70,30,41,65,85,65,37,58,41,63,63,15,No
800182,medio_alto,alto,bajo,bajo,medio,medio_alto,alto,bajo,medio_bajo,alto,medio_bajo,70,30,38,54,82,28,85,52,75,42,46,55,No
800183,medio,medio,bajo,medio,bajo,alto,medio_bajo,medio_alto,medio,medio_alto,medio_bajo,70,57,30,63,28,74,59,15,15,85,11,46,Yes
800184,medio_alto,medio_alto,medio,medio,medio,medio_bajo,bajo,alto,bajo,bajo,alto,62,70,30,70,82,85,83,35,55,69,21,16,Yes
800185,medio,medio_bajo,bajo,medio_bajo,medio,medio_alto,medio_alto,bajo,bajo,medio_alto,medio_alto,63,41,70,33,60,85,15,85,85,15,10,20,No
800186,bajo,medio_bajo,medio_bajo,medio,alto,medio_alto,medio,alto,medio_bajo,medio_alto,medio_bajo,30,30,30,69,15,85,26,18,85,85,55,45,Yes
800187,medio,medio_alto,medio,medio_alto,medio_alto,medio_bajo,medio_bajo,medio_bajo,medio_alto,bajo,medio,30,65,30,30,15,37,78,54,21,85,70,85,Yes
800188,alto,alto,alto,medio_alto,medio,medio_bajo,medio,bajo,alto,alto,medio_bajo,66,30,70,31,16,85,24,36,70,58,78,40,No
800189,alto,medio_alto,medio_bajo,medio_bajo,medio_alto,medio_alto,medio_alto,medio_alto,medio,bajo,medio,39,70,70,64,59,39,85,45,69,52,36,15,Yes
800190,medio,medio_alto,medio_bajo,medio,medio_bajo,medio_alto,medio,medio_alto,bajo,medio_bajo,alto,70,30,70,70,22,15,78,35,77,82,16,60,Yes
800191,medio,bajo,bajo,medio_alto,bajo,bajo,medio,medio,medio_bajo,medio,medio_bajo,40,65,70,68,16,34,24,47,85,21,91,85,Yes
800192,medio_alto,medio_alto,medio_bajo,medio_alto,medio,medio_alto,medio_bajo,medio_alto,medio_alto,medio,medio,70,30,30,30,66,60,31,85,58,85,29,75,No
800193,medio_bajo,medio_alto,alto,bajo,medio,medio_bajo,alto,bajo,medio,medio_bajo,alto,70,30,44,48,50,76,15,21,27,45,46,85,No
800194,medio_bajo,bajo,alto,bajo,medio_alto,medio_bajo,medio,medio,medio_bajo,alto,bajo,70,70,70,30,85,85,36,44,59,74,19,85,Yes
800195,medio,medio_alto,alto,medio_bajo,medio,medio,bajo,medio_alto,alto,alto,medio,30,34,38,30,52,71,64,27,20,21,6,85,Yes
800196,bajo,bajo,medio,alto,bajo,alto,medio,medio,alto,medio,medio,68,61,50,44,76,15,59,76,53,78,47,29,Yes
800197,alto,medio_alto,medio_alto,medio_alto,medio_alto,medio,alto,medio,medio_bajo,medio_bajo,alto,70,57,62,50,68,85,85,61,36,85,90,85,No
800198,medio_alto,medio_bajo,alto,medio_alto,medio_alto,medio_bajo,medio_alto,medio_alto,medio,medio,medio_bajo,66,36,30,30,52,54,39,17,15,56,10,85,Yes
800199,medio_bajo,alto,medio,medio,bajo,medio_bajo,medio_bajo,alto,alto,medio_alto,bajo,35,70,46,52,85,34,64,73,66,15,32,15,No
800200,medio_alto,medio_alto,alto,medio_bajo,medio,bajo,bajo,bajo,medio_bajo,medio_alto,bajo,30,30,70,35,30,24,33,57,85,36,28,15,Yes
800201,medio_alto,medio,medio_alto,medio_alto,alto,medio_bajo,medio_bajo,medio_alto,bajo,medio,alto,56,30,36,70,15,15,40,85,75,82,5,63,Yes
800202,bajo,bajo,medio_bajo,alto,bajo,medio,alto,alto,medio_bajo,alto,medio,30,30,70,50,85,85,65,15,62,85,53,85,No
800203,medio_alto,medio,medio_alto,medio,bajo,medio,bajo,medio_bajo,alto,bajo,medio_alto,70,30,70,53,73,85,26,29,75,57,61,15,No
800204,medio_alto,medio_alto,alto,medio_bajo,medio_bajo,medio_alto,medio_bajo,medio_bajo,medio,bajo,alto,70,70,70,65,71,37,85,72,82,40,32,85,Yes
800205,alto,medio_alto,medio_alto,medio,bajo,medio,medio_alto,medio,medio,bajo,medio,38,59,42,70,55,15,15,56,31,15,33,81,Yes
800206,medio,medio,medio_bajo,medio_bajo,bajo,medio_alto,medio,medio_alto,bajo,alto,medio,54,30,42,49,43,45,82,20,15,15,75,23,Yes
800207,medio,bajo,bajo,bajo,medio,alto,medio_alto,medio,medio_alto,bajo,medio_bajo,30,30,30,30,85,15,32,15,85,50,70,58,Yes
800208,medio,medio_bajo,medio,bajo,bajo,medio_alto,medio_bajo,medio,bajo,medio_bajo,bajo,56,70,30,65,15,58,26,30,84,72,43,45,No
800209,medio_bajo,medio,medio,bajo,alto,medio_alto,bajo,bajo,medio,bajo,alto,59,66,70,70,80,85,71,85,61,15,52,15,No
800210,medio_alto,alto,medio,medio,alto,alto,medio_alto,medio_bajo,medio_alto,medio_alto,medio,65,59,70,30,15,54,40,29,26,39,73,38,Yes
800211,medio,medio,alto,bajo,medio_bajo,medio_alto,bajo,medio,medio_alto,medio_alto,bajo,61,32,59,70,62,19,67,57,15,85,36,15,Yes
800212,medio_alto,medio_alto,medio_alto,medio,alto,medio_bajo,medio,alto,medio,alto,medio_alto,44,30,70,64,85,75,58,45,39,24,43,80,No
800213,bajo,bajo,medio_bajo,medio,medio,medio_bajo,bajo,medio_bajo,medio,alto,medio_alto,70,70,70,49,73,45,21,70,29,85,54,85,No
800214,alto,medio,alto,medio_alto,alto,bajo,medio_alto,medio,bajo,alto,medio_alto,70,30,30,70,26,18,85,71,69,64,35,34,Yes
800215,medio,bajo,alto,medio,bajo,alto,bajo,medio_alto,medio,medio,medio_bajo,30,49,36,33,58,66,46,58,44,81,75,50,Yes
800216,medio_bajo,medio,alto,alto,medio_alto,bajo,medio,medio_alto,alto,bajo,medio,70,37,54,62,28,15,15,15,30,85,3,15,Yes
800217,medio,medio,medio,bajo,medio,medio_alto,medio_alto,alto,alto,medio_bajo,alto,30,67,47,66,80,51,25,15,23,23,19,77,Yes
800218,medio_bajo,alto,alto,medio_bajo,medio,medio,medio,medio_bajo,alto,medio_bajo,alto,70,70,33,69,42,20,81,26,15,15,47,19,Yes
800219,medio_bajo,bajo,medio_bajo,medio_alto,alto,bajo,medio_bajo,bajo,medio_bajo,bajo,bajo,70,30,30,70,15,66,57,15,64,26,99,34,Yes
800220,medio,medio_bajo,medio_bajo,medio,alto,bajo,bajo,bajo,medio,bajo,bajo,31,48,30,30,15,56,64,15,81,15,67,75,No
800221,medio_bajo,alto,medio_bajo,medio_bajo,medio_bajo,medio_alto,medio_alto,alto,medio,medio_bajo,bajo,45,70,70,69,15,15,15,85,34,60,9,50,No
800222,alto,medio_alto,medio,alto,alto,alto,medio,bajo,medio_bajo,bajo,medio,30,30,30,30,18,85,85,44,85,15,6,75,Yes
800223,medio,medio,alto,medio,medio,bajo,alto,medio_bajo,medio,medio,medio,70,38,30,30,15,46,54,23,15,82,36,15,No
800224,alto,medio_bajo,bajo,alto,alto,alto,alto,medio_alto,medio,alto,medio_alto,30,59,30,39,51,30,70,19,15,41,52,33,No
800225,medio_alto,bajo,medio_alto,medio_alto,alto,alto,medio_bajo,bajo,bajo,medio,medio_alto,70,46,70,30,85,78,52,69,85,23,23,70,No
800226,medio_alto,alto,bajo,medio_bajo,bajo,medio,bajo,alto,medio_bajo,medio,medio_bajo,70,70,30,70,26,31,38,33,85,68,95,16,No
800227,medio_alto,medio_bajo,bajo,bajo,medio_alto,medio_alto,medio_alto,medio_alto,bajo,bajo,medio_bajo,30,70,30,30,50,34,15,40,29,53,44,49,Yes
800228,medio,medio_alto,medio,bajo,alto,bajo,bajo,bajo,medio_bajo,alto,medio_bajo,30,33,70,70,73,19,77,19,37,49,88,54,No
800229,bajo,medio_bajo,medio,medio,medio_alto,medio_bajo,bajo,medio_alto,medio_bajo,medio,medio,30,30,70,34,45,85,42,85,54,47,31,85,Yes
800230,medio,alto,medio,alto,alto,bajo,bajo,medio_alto,alto,medio_bajo,bajo,70,30,69,70,85,36,15,36,15,78,97,38,Yes
800231,medio,medio_alto,medio_bajo,medio_bajo,alto,alto,bajo,bajo,alto,bajo,medio_bajo,62,30,40,48,84,15,75,15,15,73,31,57,No
800232,alto,bajo,bajo,alto,medio,alto,medio,medio,medio_bajo,medio_bajo,alto,43,30,58,30,50,85,28,15,26,47,20,79,Yes
800233,bajo,medio_bajo,bajo,bajo,medio,alto,bajo,medio,alto,alto,bajo,59,64,70,66,83,15,61,42,52,15,92,70,No
800234,medio,bajo,alto,medio_alto,medio_alto,alto,alto,medio_bajo,medio_alto,medio,medio,70,52,51,70,28,64,22,52,42,82,83,85,No
800235,medio_alto,medio,medio_alto,medio,medio,medio,alto,medio,medio,bajo,medio,70,30,30,61,47,83,85,85,44,82,56,28,Yes
800236,medio_alto,medio_bajo,medio_bajo,medio_bajo,medio,medio,alto,alto,bajo,medio_bajo,medio_bajo,70,70,70,31,83,71,25,73,68,25,59,85,No
800237,medio_alto,bajo,medio_bajo,medio,medio,medio_alto,alto,medio_alto,bajo,medio_alto,alto,30,52,57,30,37,46,45,15,68,22,20,41,No
800238,medio_alto,medio_alto,medio_alto,medio_bajo,medio_bajo,medio_bajo,medio_bajo,alto,bajo,medio_alto,alto,30,30,30,30,18,85,84,85,15,61,67,18,No
800239,medio_bajo,medio_bajo,bajo,alto,medio,bajo,bajo,medio_alto,medio_alto,medio_bajo,medio,66,70,70,30,85,15,58,37,52,85,34,85,No
800240,bajo,medio_alto,alto,bajo,medio,medio,medio_alto,alto,medio,medio_alto,medio_alto,57,37,39,70,39,66,85,34,36,85,25,72,No
800241,alto,alto,medio_bajo,medio,medio_bajo,bajo,medio_alto,medio_alto,bajo,medio_alto,medio,55,70,46,70,15,74,85,23,81,66,48,42,Yes
800242,alto,bajo,alto,medio_alto,medio_bajo,bajo,alto,medio_alto,medio_alto,bajo,medio_alto,70,30,30,70,20,61,85,85,82,21,58,23,No
800243,medio_bajo,medio_alto,medio,medio,medio_bajo,medio,medio,medio_alto,alto,medio_bajo,medio_alto,70,35,46,59,15,85,27,85,15,85,26,85,No
800244,medio_alto,bajo,medio,medio_alto,medio,medio,medio_bajo,medio_alto,medio_bajo,medio,medio_bajo,70,30,54,30,27,26,39,15,67,54,83,48,Yes
800245,bajo,medio_bajo,bajo,medio,bajo,alto,medio_bajo,medio_alto,medio,medio_bajo,medio_bajo,70,50,30,37,65,23,85,50,35,15,86,25,No
800246,medio_bajo,alto,medio_alto,alto,medio_alto,alto,medio_alto,medio_bajo,medio_bajo,medio,bajo,70,70,47,70,15,15,59,20,15,15,24,85,Yes
800247,medio,medio_alto,medio_bajo,alto,bajo,alto,medio,medio_bajo,medio_bajo,medio,medio_bajo,42,51,70,54,34,69,17,58,42,37,12,48,No
800248,medio_alto,medio_alto,bajo,medio,bajo,medio_bajo,medio,bajo,alto,alto,bajo,30,34,30,30,21,83,18,54,51,31,70,77,No
800249,medio_bajo,medio_bajo,alto,medio,alto,alto,alto,bajo,bajo,medio_bajo,alto,56,66,30,30,78,28,37,82,31,33,100,15,Yes
800250,medio,medio_bajo,medio,alto,medio_bajo,bajo,medio_bajo,alto,medio_bajo,medio_alto,medio_bajo,43,37,30,30,85,61,67,75,15,22,74,67,No
800251,medio_bajo,medio_bajo,bajo,medio_alto,medio_alto,medio_bajo,medio,bajo,medio_alto,medio_bajo,medio_bajo,30,35,70,39,15,80,46,15,85,15,38,85,Yes
800252,medio_alto,medio_alto,alto,medio_alto,bajo,bajo,medio_alto,bajo,medio_alto,medio,medio,42,67,30,38,70,15,59,78,32,70,69,15,No
800253,medio_bajo,medio_alto,medio,medio_alto,medio,medio_bajo,medio_bajo,bajo,medio,alto,bajo,38,70,45,34,22,85,72,50,49,15,74,15,Yes
800254,medio,bajo,bajo,medio_alto,medio_bajo,bajo,medio_bajo,medio_bajo,alto,medio_alto,medio_bajo,70,68,30,64,17,55,75,36,29,22,20,74,No
800255,alto,bajo,medio_alto,alto,medio,medio,medio_bajo,medio_bajo,medio,medio_bajo,medio_bajo,32,48,70,51,16,78,69,46,85,27,74,38,Yes
800256,medio,medio,medio_bajo,alto,bajo,medio_bajo,medio,medio_bajo,medio_alto,medio_bajo,medio_bajo,32,44,43,70,25,59,71,40,21,64,95,31,Yes
800257,medio_alto,bajo,medio_alto,medio,medio_bajo,medio_bajo,medio_bajo,bajo,bajo,alto,medio_bajo,70,36,60,61,42,64,71,15,54,15,80,85,No
800258,medio,medio_alto,medio_alto,bajo,medio_bajo,alto,bajo,alto,alto,medio_bajo,medio_bajo,70,66,39,70,66,74,43,45,85,55,90,84,Yes
800259,bajo,medio_alto,medio_alto,alto,medio_alto,bajo,alto,medio_alto,bajo,medio_alto,medio_bajo,40,30,65,30,15,17,32,15,85,54,79,77,No
800260,medio,medio,medio_alto,bajo,medio_bajo,medio_alto,medio_bajo,bajo,bajo,alto,medio_alto,39,70,30,49,35,73,35,15,56,59,75,71,Yes
800261,medio,medio_alto,medio_alto,bajo,medio_alto,alto,medio_alto,bajo,medio_bajo,bajo,bajo,63,65,70,59,33,41,39,85,24,57,28,34,No
800262,medio_alto,medio_alto,medio_bajo,medio,bajo,medio_alto,alto,medio_bajo,bajo,alto,alto,70,61,30,60,58,40,78,15,15,15,45,58,Yes
800263,medio_bajo,bajo,bajo,medio,medio_alto,medio,medio_alto,alto,medio,bajo,alto,64,70,30,53,46,27,83,62,46,85,72,54,Yes
800264,alto,bajo,medio_bajo,medio,bajo,bajo,bajo,bajo,alto,alto,medio_alto,47,30,70,39,85,43,57,52,28,72,66,40,Yes
800265,bajo,medio_alto,alto,medio_alto,medio,medio_alto,alto,alto,medio_alto,medio_alto,alto,70,30,30,67,26,26,82,19,42,85,12,71,Yes
800266,medio,medio_alto,medio_bajo,bajo,medio,medio,medio,alto,medio_bajo,alto,bajo,30,30,66,70,15,15,73,16,30,75,53,76,Yes
800267,medio,medio_alto,medio_alto,medio,medio,medio_bajo,medio_bajo,medio,alto,alto,alto,58,32,70,61,31,52,54,35,15,85,94,72,No
800268,bajo,medio_bajo,bajo,medio_alto,medio_bajo,alto,medio,alto,alto,bajo,bajo,45,48,70,30,20,15,40,85,45,47,77,16,Yes
800269,alto,medio_alto,medio_bajo,medio_alto,medio,medio_alto,medio_alto,medio,medio_bajo,alto,alto,30,70,70,70,15,15,43,48,60,56,88,35,No
800270,medio_bajo,medio,bajo,bajo,bajo,alto,bajo,bajo,bajo,medio,medio,70,30,42,30,81,54,64,38,85,32,86,46,Yes
800271,alto,medio_bajo,medio,alto,medio_alto,medio,medio_bajo,bajo,medio_bajo,bajo,bajo,70,65,30,30,15,85,85,57,15,62,29,78,Yes
800272,medio,bajo,medio_bajo,medio,medio_bajo,medio_bajo,medio_bajo,medio,medio,bajo,alto,30,41,30,70,17,85,41,85,85,53,88,35,Yes
800273,medio,bajo,bajo,alto,bajo,bajo,medio_alto,bajo,bajo,medio_bajo,medio_alto,53,70,70,30,85,25,15,85,17,53,6,44,Yes
800274,bajo,medio,bajo,alto,bajo,alto,medio,alto,alto,bajo,medio_bajo,30,30,69,30,45,42,37,15,72,75,34,56,Yes
800275,bajo,medio,medio_alto,medio,medio_alto,alto,medio_bajo,bajo,medio,bajo,medio_bajo,30,32,70,69,85,56,59,55,77,61,62,56,Yes
800276,medio,medio_bajo,medio_bajo,alto,medio,alto,alto,alto,alto,medio,medio,30,30,30,50,29,15,24,49,15,67,95,65,No
800277,medio_alto,medio_alto,medio,medio,bajo,medio_bajo,medio_bajo,medio,medio,alto,medio,70,53,70,70,37,54,26,28,83,31,77,57,No
800278,medio,bajo,alto,medio_bajo,medio_alto,alto,medio_alto,medio_bajo,medio_bajo,medio,bajo,31,30,30,37,59,15,26,16,15,15,39,15,No
800279,medio,alto,medio_bajo,alto,medio,medio_bajo,medio_alto,medio,medio_alto,medio_alto,medio_alto,30,70,70,30,47,85,82,73,85,85,16,52,No
800280,bajo,alto,medio_bajo,medio_bajo,medio_alto,bajo,alto,medio_bajo,alto,alto,medio_bajo,30,30,51,30,71,85,40,85,46,36,39,69,No
800281,medio,medio_alto,alto,bajo,medio_bajo,bajo,alto,medio_alto,medio,medio_alto,medio,30,63,51,65,85,85,71,84,15,49,55,38,Yes
800282,medio_alto,bajo,bajo,bajo,medio,alto,alto,medio_bajo,bajo,medio_alto,medio,70,70,30,30,15,60,51,49,15,24,94,27,Yes
800283,medio,bajo,medio,bajo,medio_bajo,medio_bajo,alto,alto,alto,medio_bajo,medio_alto,42,30,31,70,29,76,85,85,43,34,21,27,No
800284,medio_alto,medio_alto,medio_bajo,medio_bajo,medio_alto,medio,medio,medio_alto,medio_bajo,medio_bajo,bajo,30,32,38,50,67,63,85,16,54,85,91,47,No
800285,bajo,medio,medio_bajo,medio_alto,bajo,medio_bajo,alto,alto,alto,medio_bajo,bajo,70,70,70,70,33,85,32,54,32,51,99,66,Yes
800286,medio,medio_alto,medio_bajo,medio,alto,medio_bajo,alto,alto,medio,bajo,medio_bajo,30,30,68,70,85,15,67,61,18,50,53,61,Yes
800287,medio_alto,medio_bajo,medio_bajo,medio_bajo,alto,medio,medio,alto,medio,bajo,bajo,30,69,31,30,32,80,29,81,15,50,88,17,Yes
800288,alto,medio_bajo,bajo,alto,medio,alto,medio,medio_alto,bajo,bajo,medio_alto,30,30,70,30,60,70,45,34,15,31,29,62,Yes
800289,medio,bajo,alto,bajo,alto,medio_alto,medio_bajo,medio_bajo,medio_alto,medio,bajo,69,70,70,69,85,61,74,23,66,69,72,84,Yes
800290,bajo,medio,medio,medio,medio_alto,medio,medio,medio_alto,bajo,alto,bajo,56,30,30,30,85,40,15,62,32,70,28,85,Yes
800291,alto,medio_bajo,alto,medio_alto,bajo,alto,bajo,medio,medio_bajo,medio,alto,52,31,70,32,31,73,15,50,53,24,56,40,No
800292,medio_alto,alto,medio_bajo,medio_bajo,bajo,medio_bajo,medio,medio,medio_bajo,bajo,alto,51,66,51,31,15,16,37,85,72,15,50,61,No
800293,medio_alto,bajo,alto,bajo,medio_bajo,medio_bajo,alto,medio_alto,medio_alto,medio_bajo,alto,30,30,42,70,17,15,85,62,44,15,74,69,No
800294,medio,medio,medio,medio_bajo,bajo,medio_bajo,medio_bajo,medio_alto,medio_alto,bajo,medio_bajo,60,30,37,40,79,56,15,30,18,19,73,69,No
800295,bajo,bajo,bajo,medio_alto,bajo,medio_bajo,medio_bajo,bajo,bajo,alto,medio_alto,41,70,30,30,61,34,23,64,44,52,4,85,Yes
800296,medio_alto,medio_alto,medio_alto,medio_alto,medio,medio_alto,medio_bajo,medio_alto,medio_bajo,medio_bajo,alto,30,30,70,49,27,32,15,15,51,85,27,59,Yes
800297,medio,medio_alto,medio_alto,medio_bajo,medio,alto,medio,medio_alto,bajo,medio_bajo,medio_alto,70,30,65,70,56,60,85,15,18,15,31,23,No
800298,bajo,medio_bajo,medio_alto,medio_bajo,medio_alto,alto,medio_alto,bajo,medio_bajo,medio_bajo,medio,64,30,30,70,70,56,24,85,46,52,51,25,Yes
800299,alto,medio,bajo,medio_alto,medio_bajo,medio_bajo,bajo,medio_bajo,medio_alto,medio_bajo,medio,70,70,70,44,37,53,45,15,82,26,14,39,Yes
800300,bajo,medio_alto,alto,bajo,medio_alto,medio_alto,medio_alto,medio_bajo,alto,medio_alto,alto,40,30,30,48,73,15,76,59,15,28,53,85,Yes
800301,medio,bajo,medio_bajo,bajo,medio_alto,alto,medio_alto,medio_bajo,medio,alto,bajo,69,33,70,30,15,85,15,50,55,80,59,76,Yes
800302,alto,medio_alto,medio,medio,medio_alto,medio_bajo,bajo,alto,bajo,medio,medio_bajo,63,30,30,54,15,66,62,30,38,41,62,75,Yes
800303,medio_alto,medio_bajo,bajo,bajo,medio_bajo,medio_bajo,medio_bajo,medio,medio,medio,alto,70,30,70,30,73,64,60,76,65,15,26,84,Yes
800304,medio,bajo,medio_alto,medio,medio_bajo,medio,bajo,bajo,bajo,medio_alto,bajo,46,70,70,65,33,45,42,17,54,41,40,68,Yes
800305,medio,medio_alto,alto,alto,bajo,medio_alto,medio_alto,alto,medio,alto,alto,47,70,34,30,33,21,15,15,59,15,8,85,No
800306,bajo,medio_bajo,medio_bajo,medio_bajo,bajo,medio_alto,medio_bajo,medio_alto,medio,medio_alto,medio,64,30,32,41,41,85,85,15,53,84,9,26,No
800307,alto,medio,alto,alto,alto,medio_bajo,alto,medio_alto,medio_alto,medio,medio_bajo,30,30,52,68,22,85,15,16,15,73,13,85,Yes
800308,medio_bajo,medio,medio,medio_alto,bajo,bajo,alto,medio,medio_bajo,medio_bajo,medio_alto,30,70,70,70,28,61,17,45,28,15,58,76,No
800309,medio,medio_bajo,bajo,medio_bajo,alto,alto,medio,alto,bajo,alto,medio_alto,30,66,30,70,60,75,80,85,28,59,38,54,Yes
800310,medio_bajo,medio_bajo,medio_alto,medio_alto,medio_alto,bajo,medio_bajo,bajo,alto,medio_bajo,alto,54,62,48,70,85,85,85,85,33,42,34,15,Yes
800311,medio_alto,medio_bajo,alto,bajo,medio_bajo,alto,medio_alto,alto,medio_alto,medio_bajo,medio_bajo,33,70,30,70,60,18,85,85,30,54,96,24,Yes
800312,medio_alto,medio,medio,bajo,medio,medio_bajo,medio_bajo,medio_bajo,medio_bajo,medio,medio_bajo,43,53,70,30,31,85,63,15,34,85,43,26,No
800313,alto,medio,medio_bajo,alto,alto,bajo,medio_bajo,alto,medio_alto,alto,medio,30,64,34,64,41,85,85,42,15,50,52,32,Yes
800314,medio_bajo,medio_bajo,medio_bajo,medio,bajo,bajo,medio,medio,medio_alto,medio_alto,bajo,33,30,60,30,43,39,77,42,67,68,46,62,Yes
800315,medio_bajo,alto,bajo,bajo,medio_bajo,bajo,medio,medio_alto,alto,medio,medio,70,39,53,55,85,76,59,67,85,77,12,36,No
800316,medio,medio_alto,alto,alto,alto,medio_bajo,alto,medio,alto,medio_bajo,medio_bajo,30,70,30,30,69,85,51,21,38,41,9,85,No
800317,bajo,bajo,alto,medio_alto,medio_bajo,medio_bajo,medio_bajo,medio_bajo,medio_bajo,medio_alto,medio_bajo,70,30,56,44,50,32,28,43,85,69,80,32,No
800318,medio_alto,bajo,medio_alto,medio_bajo,alto,medio_alto,medio_bajo,bajo,medio_bajo,alto,medio_bajo,30,30,30,70,34,58,28,39,38,64,31,70,Yes
800319,alto,bajo,medio,bajo,bajo,medio_alto,medio,medio,bajo,bajo,alto,30,60,54,43,83,62,36,56,36,20,16,80,Yes
800320,medio,medio,alto,medio,medio_bajo,medio_bajo,bajo,medio,bajo,medio_alto,medio_alto,70,30,53,70,38,39,20,53,81,25,20,39,Yes
800321,medio_bajo,medio,alto,medio_alto,medio_alto,medio_bajo,alto,bajo,medio,medio_alto,medio_bajo,70,70,52,32,19,60,15,31,15,85,69,15,No
800322,medio_bajo,medio,medio,bajo,alto,alto,alto,medio,medio_alto,bajo,bajo,45,66,70,45,85,75,74,79,64,85,75,60,Yes
800323,medio,alto,alto,alto,medio,alto,medio_bajo,alto,medio_alto,medio_bajo,medio_bajo,70,68,33,30,15,51,39,69,57,60,79,85,Yes
800324,alto,medio_bajo,medio,medio_bajo,medio,medio_alto,medio_alto,alto,alto,medio_bajo,medio_alto,70,38,42,40,54,23,52,15,33,26,81,61,No
800325,alto,bajo,alto,bajo,alto,medio_alto,medio_alto,bajo,medio_alto,medio_alto,medio,30,70,70,41,59,30,54,15,23,66,3,23,No
800326,medio_bajo,alto,medio_bajo,medio,medio_alto,alto,medio_bajo,medio_bajo,medio,bajo,alto,60,70,30,37,15,75,85,43,85,15,35,33,Yes
800327,medio_alto,medio_bajo,medio_alto,medio,medio_alto,alto,medio_alto,medio_alto,bajo,alto,medio,30,56,65,60,77,15,53,85,81,69,48,85,Yes
800328,bajo,medio_bajo,medio,bajo,medio,medio_alto,medio,medio_alto,medio_bajo,medio_alto,medio_bajo,70,30,30,70,33,15,15,85,15,72,59,85,Yes
800329,medio,medio,bajo,alto,medio,medio,bajo,medio,medio_alto,alto,alto,70,30,59,41,82,74,85,63,81,27,73,15,No
800330,bajo,medio_alto,alto,medio,alto,medio,bajo,bajo,bajo,bajo,alto,55,30,30,69,32,69,83,19,30,15,71,15,Yes
800331,medio,medio_alto,medio,medio_alto,bajo,alto,alto,medio_bajo,alto,medio_bajo,bajo,70,30,30,50,15,43,15,69,40,85,26,79,No
800332,medio,bajo,medio,medio_alto,medio_alto,medio,medio,medio,alto,medio,medio_alto,30,30,70,67,30,85,17,15,46,79,91,47,Yes
800333,medio,alto,alto,medio,medio_bajo,medio_bajo,bajo,alto,medio_alto,medio_alto,medio_alto,30,60,68,53,85,44,80,22,85,79,25,28,Yes
800334,bajo,medio,medio_alto,bajo,alto,alto,medio_alto,medio,medio,alto,medio_alto,70,70,70,70,24,73,30,76,85,24,44,85,Yes
800335,medio,medio,alto,bajo,medio,bajo,medio,alto,alto,medio,bajo,30,70,30,55,69,52,17,64,15,63,20,58,Yes
800336,medio_bajo,medio,medio,medio_alto,alto,alto,alto,medio_bajo,medio_alto,medio,medio_bajo,49,70,30,69,68,85,61,15,31,68,4,85,No
800337,medio_bajo,bajo,medio_bajo,medio_bajo,medio_bajo,medio,medio_bajo,medio,alto,medio,alto,54,57,31,70,56,59,40,23,54,63,11,64,Yes
800338,medio,alto,medio,bajo,medio_bajo,medio,medio_bajo,medio_alto,medio,medio_bajo,bajo,64,42,70,37,41,78,15,85,29,22,77,19,Yes
